"final.rho","init.rho","outliers","eob.p","gof.p"
0.0800000000000001,0.0800000000000001,0,3.61444483219644e-05,0.417308638044828
0,0,0,6.59051438405566e-11,6.59051438405566e-11
0,0,1,0.292001214278405,0.292001214278405
0,0,0,0.0369881315626272,0.0369881315626272
0,0,1,0.829842218269994,0.829842218269994
0.01,0.01,0,0.422001884162353,0.558630308484089
0.14,0.14,0,8.75006099527806e-07,0.433771387451878
0,0,1,0.0636142835207389,0.0636142835207389
0.0800000000000001,0.1,1,5.53787968125508e-06,0.124644620749369
-0.03,-0.03,0,0.056570193063284,0.00752044436410065
-0.14,-0.14,0,1.51544754894553e-06,0.69147673174959
0,0,0,0.000107061620023215,0.000107061620023215
-0.04,-0.04,0,0.654544223793383,0.240560498984959
0,0,0,0.0578622337976482,0.0578622337976482
0.15,0.15,0,2.21332412476372e-09,0.695045187733609
0.22,0.22,0,6.09365191304851e-11,0.203090380583362
NA
NA
NA
0.1,0.1,0,5.83057212825278e-06,0.744750423156575
0.0700000000000001,0.0700000000000001,0,0.0425002040868947,0.586046176997902
0.0700000000000001,0.0700000000000001,0,0.000220545954681872,0.126660223237076
0,0,1,0.00563552259612903,0.00563552259612903
